,subcategory,prompt,stimulus,choices,correct_choice,explanation
0,Analogies,LIBRARY is to BOOKS as …,,"{'A': 'FOREST is to TREES', 'B': 'MUSEUM is to ARTIFACTS', 'C': 'OVEN is to BAKE', 'D': 'RIVER is to FLOW', 'E': 'TARGET is to AIM'}",B,"B: A library is a place where books are stored or kept, just as a museum is a place where artifacts are stored or displayed. The analogy tests the relationship of a storage or containment location to the items it holds. Option A is close but represents a natural grouping rather than a built storage space. The other options involve tools for actions or purposes rather than storage."
1,Analogies,OCEAN is to BODY OF WATER as …,,"{'A': 'MOUNTAIN is to VALLEY', 'B': 'PIANO is to KEYBOARD', 'C': 'NOVEL is to LITERATURE', 'D': 'PARENT is to CHILD', 'E': 'DOG is to WOLF'}",C,"C: An ocean is a specific type or example of a body of water, similar to how a novel is a specific type or example of literature. This analogy examines the part-to-whole or example-to-category relationship. Options A and E show opposites or related pairs, while B and D involve instruments or familial connections, not categorical examples."
2,Analogies,GARAGE is to VEHICLES as …,,"{'A': 'STORM is to RAIN', 'B': 'ENGINE is to MACHINE', 'C': 'ELEPHANT is to HERD', 'D': 'COOKBOOK is to RECIPES', 'E': 'PREQUEL is to SEQUENCE'}",D,"D: A cookbook is a collection or “container” for recipes, similar to a garage for vehicles. The analogy is about something that holds or organizes specific items. Options A (cause-effect), B (part-whole), C (member-group), E (part-sequence) are distractors."
3,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence. Despite the team's initial _________, bolstered by their early successes, they soon realized the project required far more resources than anticipated.",,"{'A': 'optimism', 'B': 'pessimism', 'C': 'skepticism', 'D': 'cynicism', 'E': 'fatalism'}",A,"A: The sentence describes a team that started with positive expectations due to early successes but later faced challenges, so “optimism” fits the context of initial high hopes. The other options imply negative attitudes (pessimism, skepticism, cynicism, fatalism), which contrast with the “bolstered by their early successes” clue."
4,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence. The detective presented the evidence under the _________ of routine procedure, but in truth, it was a calculated move to _________ the suspect's confession.",,"{'A': 'pretense ... elicit', 'B': 'openness ... suppress', 'C': 'veil ... enhance', 'D': 'cover ... conceal', 'E': 'banner ... undermine'}",A,"A: The sentence indicates the detective was pretending the evidence presentation was routine, but the real intent was to draw out or provoke a confession, making “pretense” (a false show) and “elicit” (to draw out) the best fit. Options B and E suggest honesty or promotion, which don't align with the hidden motive. C and D involve hiding but don't match the goal of obtaining a confession."
5,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence. Seemingly _________ by the strict rules of the competition, the athlete chose to ignore them entirely and pursue her own unorthodox strategy.",,"{'A': 'encouraged', 'B': 'restricted', 'C': 'emboldened', 'D': 'liberated', 'E': 'undeterred'}",E,"E: The sentence shows the athlete was apparently not held back or discouraged by the rules, as she ignored them to follow her own path, so “undeterred” (not discouraged or prevented) fits the contrast implied by “seemingly” and the decision to proceed unconventionally. Options A and C suggest positive motivation from the rules, which doesn't match ignoring them. B and D imply limitation or freedom, but not the lack of influence."
6,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence. The team's decision to implement the new software gradually meant that it was challenging to _________ its impact, and the _________ of the system were not fully understood until several months later, when productivity began to decline.",,"{'A': 'assess ... benefits', 'B': 'envision ... outcomes', 'C': 'track ... drawbacks', 'D': 'evaluate ... features', 'E': 'quantify ... constraints'}",C,"C: The sentence describes a gradual implementation of a new software system, making it difficult to understand its impact initially, with negative consequences (declining productivity) becoming clear later. The first blank requires a verb that means observing or monitoring progress over time, and “track” fits best as it implies following the development or impact of something. The second blank needs a noun that aligns with the negative outcome (declining productivity), and “drawbacks” is the most appropriate choice, as it refers to disadvantages or negative aspects of the system."
7,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence. The passionate keynote speaker, who delivered an inspiring speech at the annual conference, _________ the audience to take immediate action to support the environmental initiative.",,"{'A': 'deceived', 'B': 'urged', 'C': 'uncovered', 'D': 'expressed', 'E': 'ensnared'}",B,"B: The sentence describes a keynote speaker delivering an inspiring speech to motivate the audience to support an environmental initiative. The blank requires a verb that conveys a strong call to action. “Urged” is the best fit, as it means to strongly encourage or persuade someone to act, aligning with the inspiring and motivational context."
8,Opposites,Choose the word that is most nearly OPPOSITE to the word in capital letters. SPURIOUS,,"{'A': 'authentic', 'B': 'costly', 'C': 'refurbished', 'D': 'fabricated', 'E': 'overstated'}",A,"A: “Spurious” means false, fake, or not genuine, often used to describe something that appears to be true but is not. The opposite of “spurious” would be a word meaning genuine or true. “Authentic” is the best choice, as it directly means genuine or real, clearly opposing the meaning of “spurious.”"
9,Opposites,Choose the word that is most nearly OPPOSITE to the word in capital letters. ALLEGED,,"{'A': 'confirmed', 'B': 'suspected', 'C': 'disputed', 'D': 'rumored', 'E': 'plausible'}",A,"A: “Alleged” means claimed or asserted without proof, often implying uncertainty. The opposite is a word meaning verified or proven to be true. “Confirmed” is the best choice, as it directly means established as true, opposing the uncertainty of “alleged.” Incorrect options (suspected, disputed, rumored, plausible) either align with uncertainty or are unrelated to the concept of proof."
10,Analogies,GENEROSITY is to EXTRAVAGANCE as ...,,"{'A': 'PRIDE is to ARROGANCE', 'B': 'COURAGE is to FEAR', 'C': 'LOYALTY is to DUTY', 'D': 'TRUST is to SKEPTICISM', 'E': 'MODESTY is to HUMILITY'}",A,"A: The relationship between “generosity” and “extravagance” is that extravagance is an extreme or excessive form of generosity, often with a negative connotation. Similarly, “arrogance” is an extreme or negative form of “pride,” making this the correct analogy. Incorrect options (courage to fear, loyalty to duty, trust to skepticism, modesty to humility) do not reflect the same excessive or negative escalation."
11,Analogies,MALICIOUS is to SPITE as ...,,"{'A': 'CONSISTENT is to AGREEMENT', 'B': 'CAUTIOUS is to PRUDENCE', 'C': 'ETHICAL is to DILEMMA', 'D': 'CLEVER is to WIT', 'E': 'BOLD is to AUDACITY'}",B,"B: “Malicious” describes an intent to harm, and “spite” is the resulting action or feeling driven by that intent. Similarly, “cautious” describes a careful approach, and “prudence” is the quality or behavior that reflects caution, making this the correct analogy. Incorrect options (consistent to agreement, ethical to dilemma, clever to wit, bold to audacity) do not maintain the same intent-to-outcome relationship."
12,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence. The organization’s _________ commitment to innovation initially fueled its rapid expansion, but a sudden _________ in funding led to project delays and diminished employee morale.",,"{'A': 'steadfast ... surge', 'B': 'wavering ... increase', 'C': 'resolute ... shortfall', 'D': 'fleeting ... growth', 'E': 'inconsistent ... reduction'}",C,"C: The sentence describes an organization’s strong dedication to innovation driving growth, followed by a negative shift due to funding issues, resulting in delays and low morale. The first blank needs an adjective indicating strong commitment, and “resolute” (meaning determined and unwavering) fits best. The second blank requires a noun indicating a negative financial change, and “shortfall” (a deficit or lack of funds) aligns with the context of project delays and reduced morale."
13,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence. The city’s _________ efforts to revitalize its downtown area initially attracted new businesses, but an unexpected _________ in infrastructure investment caused setbacks and public dissatisfaction.",,"{'A': 'vigorous ... boost', 'B': 'halfhearted ... decline', 'C': 'persistent ... withdrawal', 'D': 'temporary ... expansion', 'E': 'sporadic ... cutback'}",C,"C: The sentence describes a city’s ongoing efforts to improve its downtown, leading to initial success, followed by a negative outcome due to reduced infrastructure investment, causing setbacks and dissatisfaction. The first blank needs an adjective suggesting sustained effort, and “persistent” (meaning continuous and determined) fits well. The second blank requires a noun indicating a reduction in resources, and “withdrawal” (implying a pulling back of investment) matches the context of setbacks."
14,Exact Match Count,How many of the five items in the left-hand column are exactly the same as the corresponding entry in the right-hand column?,"{'pairs': [['Apex Consulting LLC', 'Apex Consulting LCC'], ['Banner Technologies', 'Banner Technologies'], ['Crown Jewelers', 'Crown Jewellers'], ['Delta Force Security', 'Delta Force Security'], ['Eagle Eye Investigations', 'Eagle Eye Investigations']], 'pair_count': 5}","{'A': '1', 'B': '2', 'C': '3', 'D': '4', 'E': '5'}",C,"C: “Apex Consulting LLC” and “Apex Consulting LCC” are different. “Crown Jewelers” and “Crown Jewellers” are also different. Therefore, 3 items are exactly the same."
15,Exact Match Count,How many of the five items in the left-hand column are exactly the same as the corresponding entry in the right-hand column?,"{'pairs': [['Franklin, Robert D.', 'Franklin, Robert B.'], ['Goodman, Alice M.', 'Goodman, Alice M.'], ['Harris, Samuel T.', 'Harris, Samuel T.'], ['Irvine, Laura P.', 'Irvine, Laura R.'], ['Jackson, Kyle B.', 'Jackson, Kyle B.']], 'pair_count': 5}","{'A': '1', 'B': '2', 'C': '3', 'D': '4', 'E': '5'}",C,"C: “Franklin, Robert D.” and “Franklin, Robert B.” are different. “Irvine, Laura P.” and “Irvine, Laura R.” are also different. Therefore, 3 items are exactly the same."
16,Exact Match Count,How many of the five items in the left-hand column are exactly the same as the corresponding entry in the right-hand column?,"{'pairs': [['Phoenix, AZ', 'Phoenix, AZ'], ['Atlanta, GA', 'Atlanta, G.A.'], ['Denver, CO', 'Denver, CO'], ['Boston, MA', 'Boston, MA'], ['Chicago, IL', 'Chicago, IL']], 'pair_count': 5}","{'A': '1', 'B': '2', 'C': '3', 'D': '4', 'E': '5'}",D,"D: “Atlanta, GA” and “Atlanta, G.A.” are different (due to the period after the second initial). Therefore, 4 items are exactly the same."
17,Basic Arithmetic Word Problems,A sandwich costs $4.50. How much will it cost to buy four sandwiches?,,"{'A': '$16.00', 'B': '$17.50', 'C': '$18.00', 'D': '$18.50', 'E': '$19.00'}",C,"C: To find the total cost of four sandwiches we can use some quick mental math: $4 × 4 sandwiches = $16.00 $0.50 × 4 = $2.00 $16.00 + $2.00 = $18.00 Therefore, the correct answer is option C."
18,Number Comparison,Which of the following is the smallest value?,,"{'A': '0.62', 'B': '0.407', 'C': '0.093', 'D': '0.155', 'E': '0.28'}",C,"C: To determine the smallest value, compare the digits starting from the tenths place: 0. 6 2 0. 4 07 0. 0 93 0. 1 55 0. 2 8 Since all other numbers are larger than one-tenth, 0.093 is the smallest. The correct answer is option C."
19,Basic Arithmetic Word Problems,"A bookstore sells 528 novels in January. In February, it sells 187 more novels than in January. How many novels are sold in February?",,"{'A': '695', 'B': '705', 'C': '715', 'D': '725', 'E': '735'}",C,"C: The store sells 528 novels in January, and February’s sales are 187 more than this. We can add 528 and 187 to find the number of novels sold in February. We can use rounded numbers to easily solve without a calculator. Instead of adding 187, let’s add 200 and then subtract 13: 528 + 200 = 728 728 – 13 = 715 Therefore, the store sold 715 novels in February, and the correct answer is option C."
20,Basic Arithmetic Word Problems,"In a class of thirty students, one third of the students also play on the school’s basketball team. If five more students from the class join the basketball team, what percentage of students in the class will be on the basketball team?",,"{'A': '33%', 'B': '40%', 'C': '43%', 'D': '45%', 'E': '50%'}",E,"E: \frac{1}{3} of 30 students is 10, so initially 10 students play basketball. When 5 more join the basketball team, the total number of players becomes 15. To find the percentage, divide 15 by 30 and then multiply by one hundred: 15 ÷ 30 = 0.5 0.5 × 100 = 50% Therefore, the correct answer is option E."
21,Basic Arithmetic Word Problems,12 is 20% of what number?,,"{'A': '40', 'B': '50', 'C': '55', 'D': '60', 'E': '65'}",D,"D: If 12 is 20% of a number, we can set up an equation and solve: 0.20x = 12 x = 60 Therefore, the number is 60, and the correct answer is option D."
22,Number Series,What would be the next number in the following series? 4 … 8 … 16 … 32 … 64 …,,"{'A': '96', 'B': '112', 'C': '120', 'D': '128', 'E': '144'}",D,"D: Each number in the series is obtained by multiplying the previous number by 2: 4 × 2 = 8 8 × 2 = 16 16 × 2 = 32 32 × 2 = 64 64 × 2 = 128 Therefore, the correct answer is option D."
23,Logic Statements,"Assume the first two statements are true. Is the final statement: 1) True, 2) False, or 3) Uncertain based on the information provided? Sarah is taller than Michael. Emma is shorter than Michael. Sarah is shorter than Emma.",,"{'A': 'True', 'B': 'False', 'C': 'Uncertain'}",B,"B: The first statement establishes that Sarah is taller than Michael (S > M). The second statement indicates that Emma is shorter than Michael (E < M). Combining these, we know Sarah is taller than Michael, who is taller than Emma (S > M > E). The final statement claims Sarah is shorter than Emma (S < E), which contradicts the derived order (S > E). Therefore, the final statement is False."
24,Logic Statements,"Assume the first two statements are true. Is the final statement: 1) True, 2) False, or 3) Uncertain based on the information provided? All of Lisa’s teammates are also teammates of James. James is a teammate of Olivia. Olivia has exactly two teammates.",,"{'A': 'True', 'B': 'False', 'C': 'Uncertain'}",C,"C: The first statement means that all of Lisa’s teammates are also teammates of James. The second statement confirms that Olivia is a teammate of James. The final statement claims that Olivia has exactly two teammates. Since the first two statements do not provide specific information about the number of Olivia’s teammates (only that she is a teammate of James and that Lisa’s teammates are a subset of James’s), we cannot determine whether Olivia has exactly two teammates. It’s possible, but not guaranteed, so the answer is uncertain."
25,Logic Statements,"Assume the first two statements are true. Is the final statement: 1) True, 2) False, or 3) Uncertain based on the information provided? All projects assigned last month were exempt from the final review process. Tara was required to complete the final review process for her project. Tara’s project was assigned last month.",,"{'A': 'True', 'B': 'False', 'C': 'Uncertain'}",B,"B: The first statement indicates that all projects assigned last month were exempt from the final review process. The second statement states that Tara was required to complete the final review process for her project. The final statement claims that Tara’s project was assigned last month. The second statement confirms that Tara’s project required a review, which contradicts the exemption for last month’s projects. Therefore, Tara’s project could not have been assigned last month, making the final statement false."
26,Basic Arithmetic Word Problems,"A factory machine produces an average of 27.5 items every hour. If the machine only runs while the factory is open, and the factory is open for 40 hours each week, how many items will the machine produce over the course of 10 weeks?",,"{'A': '10,800', 'B': '11,000', 'C': '11,200', 'D': '11,400', 'E': '11,600'}",B,"B: The machine produces 27.5 items every hour. In one week, it runs for 40 hours, so multiplying 27.5 by 40 gives 1,100 items per week. Over 10 weeks, multiplying 1,100 by 10 gives a total of 11,000 items. Therefore, the correct answer is option B."
27,Basic Arithmetic Word Problems,"A carpenter can complete a project in 2.5 hours. His apprentice takes 5 hours to complete the same project. If both individuals start working at the same time, and each work 50 hours for one week, how many total projects will they have finished?",,"{'A': '28', 'B': '29', 'C': '30', 'D': '31', 'E': '32'}",C,"C: We can find how many projects the carpenter and apprentice both complete and add them together. Carpenter: 50 hours ÷ 2.5 projects per hour = 20 Apprentice: 50 hours ÷ 5 projects per hour = 10 20 + 10 = 30 total projects Together they finish 30 projects, making option C correct."
28,Basic Arithmetic Word Problems,"A group of four numbers has an average (arithmetic mean) of 18. The first three numbers are 12, 27, and 9. What is the fourth number?",,"{'A': '22', 'B': '23', 'C': '24', 'D': '25', 'E': '26'}",C,"C: To find the fourth number, begin by multiplying the average by the number of values. Since the average is 18 and there are four numbers, the total sum must be: 18 × 4 = 72 Next, add the first three numbers: 12 + 27 + 9 = 48 Subtract this sum from the required total: 72 − 48 = 24 The fourth number must be 24, which is option C."
29,Basic Arithmetic Word Problems,An investor buys shares in a company for $8 per share. The shares increase by 20% in the first year and then by 25% in the second year. What will the price of the stock be after two years?,,"{'A': '$11.80/share', 'B': '$12.00/share', 'C': '$12.40/share', 'D': '$12.60/share', 'E': '$12.80/share'}",B,"B: Start with $8 (year 1). After the first year, the stock increases by 20%: $8 × .20 = $1.60 $8 + $1.60 = $9.60 Continue with $9.60 (year 2). After the second year, the stock increased by 25%: $9.60 × .25 = $2.40 $9.60 + $2.40 = $12.00 Therefore, the correct answer is option B."
30,Basic Arithmetic Word Problems,"A weather service estimates there is a 30% chance of rain on any given day. If this is correct and someone is planning a two-day outdoor event, what is the probability that it will not rain on either day?",,"{'A': '42%', 'B': '45%', 'C': '49%', 'D': '51%', 'E': '70%'}",C,"C: The probability of no rain on a single day is the complement of 30%, which is 70%. For two independent days, multiply 70% by 70%: 0.7 × 0.7 = 0.49 0.49 × 100 = 49% Therefore, the correct answer is option C."
31,Basic Arithmetic Word Problems,"A concert hall knows it can sell all 800 seats at a price of $25 each. However, if the price is raised to $30, the hall expects to fill only 85% of the seats. By what percentage would revenue increase if the hall charges the higher price?",,"{'A': '0%', 'B': '2%', 'C': '4%', 'D': '6%', 'E': '8%'}",B,"B: At $25 per ticket, the hall sells 800 seats for a revenue of: 800 × $25 = $20,000 At $30 per ticket, the hall sells 85% of 800: 800 × .85 = 680 680 × $30 = $20,400 We can use the percent change formula to solve: ((New – Old) ÷ Old) × 100 (($20,400 - $20,000) ÷ $20,000) × 100 0.02 × 100 2% The percentage increase is 2%."
32,Basic Arithmetic Word Problems,A cycling race begins with 15 cyclists from Team A and 12 cyclists from Team B. Three cyclists from Team A and four cyclists from Team B do not finish the race. What percentage of the cyclists who finish the race are from Team A?,,"{'A': '50%', 'B': '60%', 'C': '63%', 'D': '66%', 'E': '75%'}",B,"B: Team A starts with 15 cyclists and loses 3, so 12 cyclists from Team A finish. Team B starts with 12 and loses 4, so 8 cyclists from Team B finish. The total number of finishers is 12 + 8 = 20. The fraction of finishers from Team A is 12 out of 20, which is 12/20 = 0.60, and converting to a percentage gives 60%. Therefore option B is correct."
33,Basic Arithmetic Word Problems,"What is the average (arithmetic mean) of the following numbers: 2, 5, 9, 15, and 29?",,"{'A': '10.0', 'B': '11.5', 'C': '12.0', 'D': '12.4', 'E': '13.0'}",C,"C: To find the arithmetic mean, first add the five numbers and then divide by the number of values (5): 2 + 5 + 9 + 15 + 29 = 60 60 ÷ 5 = 12 Therefore, option C is correct."
34,Basic Arithmetic Word Problems,"A souvenir shop sells postcards in four different sizes, offers ten different designs, and has each postcard available in three types of frames. How many different combinations of size, design, and frame are possible?",,"{'A': '100', 'B': '110', 'C': '120', 'D': '130', 'E': '140'}",C,"C: Each complete postcard choice consists of one size, one design, and one frame. The total number of unique combinations is the product of the number of options in each category: 4 sizes × 10 designs × 3 frames = 120 Therefore, option C is correct."
35,Basic Arithmetic Word Problems,"If a bag contains 50 marbles and you have a \frac{1}{5} chance of drawing a blue marble, how many blue marbles are in the bag?",,"{'A': '5', 'B': '8', 'C': '10', 'D': '12', 'E': '15'}",C,"C: A probability of 1/5 means one out of every five marbles is blue. To find how many marbles correspond to this fraction, multiply the total number of marbles by 1/5: 50 × \frac{1}{5} = 10 Therefore, there are 10 blue marbles in the bag and option C is correct."
36,Logic Statements,"Emma, Tom, and Sophia each have a pet: one a bird, one a rabbit, one a turtle, acquired in 2015, 2017, or 2019. Emma has a turtle. Tom acquired his pet in 2017. The rabbit’s owner acquired their pet first. Which is true?",,"{'A': 'Tom acquired a rabbit in 2017.', 'B': 'Emma acquired a turtle in 2015.', 'C': 'Sophia acquired a rabbit in 2015.', 'D': 'Tom acquired a turtle in 2017.', 'E': 'Sophia acquired a bird in 2019.'}",C,"C: Emma has the turtle (Clue 1), and Tom acquired his pet (bird or rabbit) in 2017 (Clue 2). The rabbit was acquired in 2015, the earliest year (Clue 3). Since Tom’s pet was in 2017, Sophia must have the rabbit in 2015. This leaves Tom with the bird in 2017 and Emma with the turtle in 2019. Option C (Sophia acquired a rabbit in 2015) is true based on these assignments. Other options contradict the clues."
37,Letter Series,What would be the next group of letters in the following series? pyeu … oyft … nygs … myhr …,,"{'A': 'lyiq', 'B': 'lyjr', 'C': 'kxip', 'D': 'lxiq', 'E': 'myiq'}",A,"A: A is the correct answer. Look at each position in the 4-letter groups separately. 1st letters: p - o - n - m: (letters decrease by 1) = l 2nd letters: y - y - y - y: (letters remain constant) = y 3rd letters: e - f - g - h: (letters increase by 1) = i 4th letters: u - t - s - r: (letters decrease by 1) = q That gives us lyiq, or option A."
38,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence. The artist’s use of bold colors and unique textures is what _____ her work from that of her peers.",,"{'A': 'blends', 'B': 'differentiates', 'C': 'nullifies', 'D': 'conceals', 'E': 'limits'}",B,"B : ""Differentiates"" means to make something distinct, which fits the sentence’s focus on how the artist’s work stands out from others."
39,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence. The hikers reached the summit just as the sun began to _____, casting a golden glow over the landscape after a long day.",,"{'A': 'ascend', 'B': 'rise', 'C': 'set', 'D': 'shine', 'E': 'eclipse'}",C,"C: ""Set"" is the most appropriate word, as it refers to the sun going down (after a long day), which fits the context of the sun casting a glow as it descends."
40,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence. Though the initial response to the proposal was positive, support for the initiative quickly _____ as logistical challenges emerged.",,"{'A': 'flourished', 'B': 'dissipated', 'C': 'surged', 'D': 'disappointed', 'E': 'ballooned'}",B,"B : ""Dissipated"" means gradually disappeared or lessened, which fits the sentence's idea of support declining due to challenges."
41,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence. The senator delivered her speech with the _________ of sincerity, yet every phrase was carefully crafted to _________ public opinion in her favor.",,"{'A': 'facade ... manipulate', 'B': 'passion ... strengthen', 'C': 'tone ... clarify', 'D': 'hint ... disguise', 'E': 'air ... contradict'}",A,"A: ""Facade"" implies a deceptive appearance of sincerity, and ""manipulate"" fits the idea of subtly steering public opinion."
42,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence. The artist's sudden shift from minimalism to chaotic abstraction seemed less a bold innovation than a desperate attempt to _________ waning public interest through a display of _________ novelty.",,"{'A': 'revive ... contrived', 'B': 'sustain ... timeless', 'C': 'discourage ... effortless', 'D': 'conceal ... genuine', 'E': 'inspire ... authentic'}",A,"A: The sentence implies the artist is trying to recover interest (""revive"") using something forced or artificial (""contrived"" novelty)."
43,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence. The scientist's groundbreaking research was initially met with skepticism, but over time it gained _____ among her peers, leading to widespread acceptance of her theories.",,"{'A': 'disdain', 'B': 'prominence', 'C': 'obfuscation', 'D': 'contention', 'E': 'derision'}",B,"B : ""Prominence"" fits the context as it indicates that the scientist's research became well-known and respected among her peers, contrasting with initial skepticism."
