,subcategory,prompt,stimulus,choices,correct_choice,explanation
97,Logic Statements,"Assume the first two statements are true. Is the final statement: 1) True, 2) False, or 3) Uncertain based on the information provided? All singers in the school chorus are also in the drama club. Marcus is in the school chorus. Marcus is in the drama club.",,"{'A': 'True', 'B': 'False', 'C': 'Uncertain'}",A,"A: Statement 1 establishes a relationship: If you are in the chorus, then you are in the drama club. Statement 2 provides a specific fact: Marcus is in the school chorus. Since Marcus is in the chorus (Statement 2) and all chorus members are also in the drama club (Statement 1), it logically follows that Marcus must be in the drama club. Therefore, the final statement is True."
98,Logic Statements,"Assume the first two statements are true. Is the final statement: 1) True, 2) False, or 3) Uncertain based on the information provided? All books published last year were eligible for a special award. Noah’s book was not eligible for the special award. Noah’s book was published last year.",,"{'A': 'True', 'B': 'False', 'C': 'Uncertain'}",B,"B: The first statement states all books published last year were eligible for a special award. The second statement indicates Noah’s book was not eligible. If Noah’s book was published last year (final statement), it would have to be eligible per the first statement, but this contradicts the second statement. Therefore, Noah’s book cannot have been published last year, making the final statement false."
99,Basic Arithmetic Word Problems,15 is 25% of what number?,,"{'A': '50', 'B': '55', 'C': '60', 'D': '65', 'E': '70'}",C,"C: If 15 is 25% of a number, we can set up an equation and solve: 0.25x = 15 x = 60 Therefore, the number is 60, and the correct answer is option C."
100,Number Series,What would be the next number in the following series? 3 … 7 … 15 … 31 … 63 …,,"{'A': '95', 'B': '111', 'C': '127', 'D': '135', 'E': '143'}",C,"C: To identify the pattern, notice that each number is double the previous number plus 1 3 × 2 = 6 + 1 = 7 7 × 2 = 14 + 1 = 15 15 × 2 = 30 + 1 = 31 31 × 2 = 62 + 1 = 63 63 × 2 = 126 + 1 = 127 Therefore, the next number is 127, which is option C."
101,Basic Arithmetic Word Problems,"A warehouse scanner processes an average of 45 packages every hour. If the scanner is only used while the warehouse is open, and the warehouse operates 60 hours each week, how many packages will be processed over the course of 6 weeks?",,"{'A': '15,750', 'B': '15,800', 'C': '16,000', 'D': '16,200', 'E': '16,460'}",D,"D: The scanner processes 45 packages per hour. In one week, the scanner runs for 60 hours, so it processes: 45 × 60 = 2,700 packages per week Over 6 weeks, it processes: 2700 × 6 = 16,200 packages Therefore, the correct total is 16,200 packages, which aligns with option D."
102,Basic Arithmetic Word Problems,"A technician can complete a machine repair in 2.8 hours. His less experienced assistant takes 4 hours for the same repair. If both work simultaneously and each work 56 hours in one week, how many total repairs will they complete?",,"{'A': '32', 'B': '34', 'C': '36', 'D': '38', 'E': '40'}",B,"B: The technician can complete 56 ÷ 2.8 = 20 repairs in 56 hours. The assistant can complete 56 ÷ 4 = 14 repairs in the same time. Adding these together gives 20 + 14 = 34 total repairs. Therefore, the correct answer is option B."
103,Basic Arithmetic Word Problems,"A group of four numbers has an average (arithmetic mean) of 24. The first three numbers are 18, 30, and 12. What is the fourth number?",,"{'A': '24', 'B': '28', 'C': '32', 'D': '34', 'E': '36'}",E,"E: To find the fourth number, begin by multiplying the average by the number of values. Since the average is 24 and there are four numbers, the total sum must be: 24 × 4 = 96 Next, add the first three numbers: 18 + 30 + 12 = 60 Subtract this sum from the required total: 96 − 60 = 36 The fourth number must be 36, which is option E."
104,Basic Arithmetic Word Problems,An investor buys shares in a company for $10 per share. The shares increase by 30% in the first year and 20% in the second year. What is the price of the stock after two years?,,"{'A': '$14.00/share', 'B': '$14.50/share', 'C': '$15.00/share', 'D': '$15.20/share', 'E': '$15.60/share'}",E,"E: Start with $10 (year 1). After the first year, the stock increases by 30%: $10 × .30 = $3.00 $10 + $3.00 = $13.00 Continue with $13.00 (year 2). After the second year, the stock increased by 20%: $13.00 × .20 = $2.60 $13.00 + $2.60 = $15.60 Therefore, the correct answer is option E."
105,Basic Arithmetic Word Problems,A survey states that there is a 20% chance of a baby throwing up on any given day. What is the probability that a baby will not throw up on either the 23 rd or 24 th of April?,,"{'A': '50%', 'B': '56%', 'C': '60%', 'D': '64%', 'E': '70%'}",D,"D: The probability of no throw up on a single day is the complement of 20%, which is 80%. For two independent days, multiply 80% by 80%: 0.8 × 0.8 = 0.64 0.64 × 100 = 64% Therefore, the correct answer is option D."
106,Basic Arithmetic Word Problems,"A theater can sell all 900 seats at a ticket price of $12 each. If the price is raised to $20, it expects to sell 80% of the seats. By what percentage will the theater increase its revenue if it raises the ticket price?",,"{'A': '12%', 'B': '18%', 'C': '23.33%', 'D': '27.5%', 'E': '33.33%'}",E,"E: At $12 per ticket, the hall sells 900 seats for a revenue of: 900 × $12 = $10,800 At $20 per ticket, the hall sells 80% of 900: 900 × .80 = 720 720 × $20 = $14,400 We can use the percent change formula to solve: ((New – Old) ÷ Old) × 100 (($14,400 - $10,800) ÷ $10,800) × 100 0.3333 × 100 33.33% The percentage increase is 33.33%."
107,Basic Arithmetic Word Problems,A charity walk starts with 18 participants from Team A and 12 participants from Team B. Three participants from Team A and two participants from Team B do not finish the walk. What percentage of the participants who finish the walk are from Team A?,,"{'A': '50%', 'B': '60%', 'C': '63%', 'D': '66%', 'E': '75%'}",B,"B: Team A starts with 18 participants and loses 3, so 15 participants from Team A finish. Team B starts with 12 and loses 2, so 10 participants from Team B finish. The total number of finishers is 15 + 10 = 25. The fraction of finishers from Team A is 15 out of 25, which is 15/25 = 0.60, and converting to a percentage gives 60%. Therefore, option B is correct."
108,Basic Arithmetic Word Problems,"What is the average (arithmetic mean) of the following numbers: 3, 7, 14, 20, and 36?",,"{'A': '12.0', 'B': '14.0', 'C': '15.0', 'D': '16.0', 'E': '18.0'}",D,"D: To find the average, add the five numbers to get the total sum 3 + 7 + 14 + 20 + 36 = 80. Divide this sum by the number of values, which is 5, so 80 ÷ 5 = 16. The arithmetic mean is 16.0, making option D correct."
109,Basic Arithmetic Word Problems,"A gallery sells prints in four different sizes, offers eleven different designs, and frames each print in three frame styles. How many distinct combinations of size, design, and frame are possible?",,"{'A': '108', 'B': '120', 'C': '132', 'D': '144', 'E': '156'}",C,"C: Each finished product is chosen by picking one size, one design, and one frame. The total number of possible combinations is the product of the counts in each category, which is 4 × 11 × 3 = 132. Therefore, option C is correct."
110,Basic Arithmetic Word Problems,"If a bag contains 30 marbles and you have a \frac{1}{6} chance of drawing a green marble, how many green marbles are in the bag?",,"{'A': '3', 'B': '4', 'C': '5', 'D': '6', 'E': '10'}",C,"C: A probability of \frac{1}{6} means one out of every six marbles is green. Multiply the total number of marbles by the fraction \frac{1}{6} to find the count: 30 × \frac{1}{6} = 5 Therefore, there are 5 green marbles in the bag and option C is correct."
111,Logic Statements,"Sofia, Daniel, and Chloe each have a favorite book genre: one prefers mystery, one prefers sci-fi, and one prefers fantasy. Each chose their favorite genre in a different year: 2017, 2019, or 2021. Sofia prefers fantasy. Daniel chose his favorite genre in 2019. The person who prefers mystery chose their favorite genre first. Which of the following is true?",,"{'A': 'Daniel chose mystery in 2019.', 'B': 'Sofia chose fantasy in 2017.', 'C': 'Chloe chose sci-fi in 2021.', 'D': 'Daniel chose fantasy in 2021.', 'E': 'Chloe chose mystery in 2017.'}",E,"E: Sofia prefers fantasy (Clue 1), and Daniel chose his favorite genre (mystery or sci-fi) in 2019 (Clue 2). The person who prefers mystery chose their genre first (Clue 3), so mystery was chosen in 2017, the earliest year. Since Daniel’s genre was chosen in 2019, Daniel cannot prefer mystery, so Chloe must prefer mystery and chose it in 2017. This leaves Daniel with sci-fi in 2019 and Sofia with fantasy in 2021. Thus, Chloe chose mystery in 2017 (Option E) is true."
112,Letter Series,What would be the next group of letters in the following series? zamt … ycns … xeor … wgpq …,,"{'A': 'tihp', 'B': 'vipq', 'C': 'uhqp', 'D': 'vjqp', 'E': 'viqp'}",E,"E: E is the correct answer. Look at each position in the 4-letter groups separately. 1st letters: z - y - x - w: (letters decrease by 1) = v 2nd letters: a - c - e - g: (letters increase by 2) = i 3rd letters: m - n - o - p: (letters increase by 1) = q 4th letters: t - s - r - q: (letters decrease by 1) = p That gives us viqp, or option E."
113,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence. The startup's rapid hiring spree was presented as a sign of confidence, but insiders saw it as a _________ attempt to _________ investors after a disappointing quarter.",,"{'A': 'genuine ... warn', 'B': 'transparent ... comfort', 'C': 'calculated ... reassure', 'D': 'chaotic ... impress', 'E': 'impulsive ... distract'}",C,"C : The phrase ""presented as a sign of confidence, but insiders saw it as..."" suggests a deliberate illusion. ""Calculated"" fits because it implies something done with strategic intent rather than sincerity. The goal is to reassure investors, aligning with the motive to restore confidence. ""Impulsive"" and ""chaotic: contradict the idea of something planned. ""Distract"" doesn't quite fit the emotional goal of calming investors. Thus, ""calculated ... reassure"" best fits both the contrast and motive in the sentence."
114,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence. Though the scientist claimed her theory was supported by data, the evidence she provided was so _________ that it seemed designed more to _________ than to clarify the issue.",,"{'A': 'dense ... obscure', 'B': 'precise ... illuminate', 'C': 'thorough ... explain', 'D': 'scattered ... simplify', 'E': 'vivid ... distort'}",A,"A : The sentence implies that while the scientist claimed clarity, her presentation had the opposite effect. ""Dense"" (complex or difficult to follow) and ""obscure"" (make unclear) both reinforce the idea that her evidence confused rather than clarified. ""Precise ... illuminate"" describes genuine clarity, not pretense. ""Scattered ... simplify"" and ""vivid ... distort"" mismatch in tone and intent. Therefore, ""dense ... obscure"" best captures the intended irony of intellectual confusion disguised as rigor."
115,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence. The historian’s portrayal of the empire's decline was criticized for its _________ tone, which seemed to _________ the suffering it described.",,"{'A': 'detached ... trivialize', 'B': 'sympathetic ... deepen', 'C': 'nostalgic ... highlight', 'D': 'neutral ... balance', 'E': 'grim ... magnify'}",A,"A : The criticism focuses on tone. The historian appears emotionally distant in recounting hardship. ""Detached"" accurately conveys emotional disconnection, while ""trivialize"" matches the effect of downplaying suffering. ""Sympathetic ... deepen"" reverses the intended meaning (too emotional rather than cold). ""Neutral ... balance"" is too mild to be ""criticized."" Thus, ""detached ... trivialize"" perfectly reflects the insensitivity implied by the critique."
116,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence. The author’s argument was _____ by several key pieces of evidence that were never fully explained or analyzed.",,"{'A': 'supported', 'B': 'bolstered', 'C': 'undermined', 'D': 'substantiated', 'E': 'validated'}",C,"C : ""Undermined"" means weakened, fitting the idea that the argument was damaged by the lack of explanation or analysis."
117,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence. The politician’s promise to reform education sounded inspiring, but her plan was so _________ in detail and so _________ in execution that few believed it would ever happen.",,"{'A': 'rich ... organized', 'B': 'vague ... disjointed', 'C': 'complex ... deliberate', 'D': 'thorough ... methodical', 'E': 'ambitious ... achievable'}",B,"B : The setup contrasts ""sounded inspiring"" with ""few believed it would ever happen"" - implying the plan lacked clarity and coherence. ""Vague"" captures the absence of specific detail, and ""disjointed"" conveys poor structure or inconsistent action. ""Complex ... deliberate"" would describe something challenging but well-considered. ""Ambitious ... achievable"" contains an internal contradiction that doesn’t fit the context of disbelief. So, ""vague ... disjointed"" provides the most logical and consistent pairing for a plan that sounds good but fails in practice."
118,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence. Her _____ approach to problem-solving often led to innovative solutions that others had overlooked.",,"{'A': 'methodical', 'B': 'haphazard', 'C': 'conventional', 'D': 'unorthodox', 'E': 'simplistic'}",D,"D: ""Unorthodox"" suggests a non-traditional or unconventional approach, which aligns with her ability to find innovative solutions, emphasizing her creative thinking."
119,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence. The film was a _____ adaptation of the classic novel, retaining much of the original dialogue while updating the setting for a modern audience.",,"{'A': 'faithful', 'B': 'haphazard', 'C': 'superficial', 'D': 'derivative', 'E': 'loose'}",A,"A : ""Faithful"" indicates that the adaptation closely followed the original novel, which aligns with the description provided."
120,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence. The sudden drop in temperatures was a _____ reminder of the unpredictability of weather patterns in the region.",,"{'A': 'stark', 'B': 'negligible', 'C': 'trivial', 'D': 'muted', 'E': 'pleasant'}",A,"A : ""Stark"" implies a strong and clear contrast, highlighting the unexpected nature of the temperature drop."
121,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence. The team’s inability to communicate effectively was a _____ barrier to their success in the project.",,"{'A': 'trivial', 'B': 'significant', 'C': 'negligible', 'D': 'sporadic', 'E': 'superficial'}",B,"B : ""Significant"" indicates that the communication issue had a considerable impact on the team’s success."
122,Analogies,VICTORY is to JOY as _____ is to SORROW .,,"{'A': 'defeat', 'B': 'winning', 'C': 'depression', 'D': 'having fun', 'E': 'crying'}",A,"A: The best choice is (A). Joy is a result of victory. Sorrow and joy are opposites. We need to find the opposite of victory, which is defeat."
123,Analogies,VACATION is to HOLIDAY as VOCATION is to ______.,,"{'A': 'career', 'B': 'money', 'C': 'degree', 'D': 'pleasure', 'E': 'time-off'}",A,"A: The best choice is (A). Holiday is another term used to describe a vacation. We need to find another term that describes what a vocation is. Option (A), career, is the best choice for this question."
124,Analogies,SHOVEL is to DIG as …,,"{'A': 'SWORD is to SWING', 'B': 'PAINTBRUSH is to PAINT', 'C': 'LIGHTBULB is to DIM', 'D': 'HAMMER is to NAILS', 'E': 'BROOM is to DUST'}",B,"B : A paintbrush is used to paint, just as a shovel is used to dig. This is a relationship of a tool to its function."
125,Analogies,RARE is to COMMON as …,,"{'A': 'CLEAN is to TIDY', 'B': 'VALUABLE is to PRICELESS', 'C': 'HOT is to BALMY', 'D': 'FAMOUS is to UNKNOWN', 'E': 'ANCIENT is to BYGONE'}",D,"D : ""Rare"" and ""common"" are opposites, just as ""famous"" and ""unknown"" are opposites."
126,Exact Match Count,How many of the five items in the left-hand column are exactly the same as the corresponding entry in the right-hand column?,"{'pairs': [['Granite Creek Development', 'Granite Creek Development'], ['Lakeside Builders Inc.', 'Lakeside Builders Inc.'], ['Pinnacle Holdings', 'Pinnacle Holdings'], ['Willowbrook Partners', 'Wilowbrook Partners'], ['Riverbank Investment Group', 'Riverbank Investment Group']], 'pair_count': 5}","{'A': '1', 'B': '2', 'C': '3', 'D': '4', 'E': '5'}",D,"D: ""Willowbrook Partners"" and ""Wilowbrook Partners"" are different. Therefore, 4 items are exactly the same."
127,Exact Match Count,How many of the five items in the left-hand column are exactly the same as the corresponding entry in the right-hand column?,"{'pairs': [['Bayshore Media Group', 'Bayshore Media Group'], ['Pinnacle Investments', 'Pinnacle Investment'], ['Cedarwood Homes', 'Cedarwoods Homes'], ['Silverleaf Property Group', 'Silverleaf Properties Group'], ['Horizon Financial Services', 'Horizon Financial Services']], 'pair_count': 5}","{'A': '1', 'B': '2', 'C': '3', 'D': '4', 'E': '5'}",B,"B: ""Pinnacle Investments"" and ""Pinnacle Investment"" are different. ""Cedarwood Homes"" and ""Cedarwoods Homes"" are different. ""Silverleaf Property Group"" and ""Silverleaf Properties Group"" are different. Therefore, 2 items are exactly the same."
128,Exact Match Count,How many of the five items in the left-hand column are exactly the same as the corresponding entry in the right-hand column?,"{'pairs': [['4321 Maple Ave.', '4321 Maple Ave.'], ['2568 Birch Rd.', '2568 Birch Rd.'], ['78B Poplar Ln.', '78B Pooplar Ln.'], ['9901 Cedar Grove St.', '9901 Cedar Groove St.'], ['1500 Oak Hill Rd.', '1500 Oak Hill Rd.']], 'pair_count': 5}","{'A': '1', 'B': '2', 'C': '3', 'D': '4', 'E': '5'}",C,"C: “78B Poplar Ln.” and “78B Popplar Ln.”, and ""9901 Cedar Grove St."" and ""9901 Cedar Groove St."" are different. Therefore, 3 items are exactly the same."
129,Opposites,"One word below is underlined. What is the OPPOSITE of that word? Brady was not usually hostile toward the opponent, but today he was.",,"{'A': 'malefic', 'B': 'bitter', 'C': 'pugnacious', 'D': 'belligerent', 'E': 'mild'}",E,E: Option (E) is the best choice here. Hostile means “unfriendly or antagonistic.” Mild is the best choice as all of the other options are similar in meaning to hostile.
130,Opposites,One word below is underlined. What is the OPPOSITE of that word? The Queen was a merciful queen.,,"{'A': 'lenient', 'B': 'clement', 'C': 'cruel', 'D': 'pitying', 'E': 'benign'}",C,C: Option (C) is the best choice. Merciful means “showing or exercising mercy.” Cruel is a direct opposite of merciful. Pitying can sometimes be confused as opposite of merciful but actual means “feeling sorrow for someone’s misfortunes.”
131,Number Comparison,Which of the following numbers is the largest?,,"{'A': '2.34', 'B': '3.42', 'C': '2.43', 'D': '3.43', 'E': '3.23'}",D,"D: The correct answer is (D). We can quickly eliminate options (A) and (C) due to them starting with a 2. Next, we look at the tenths place and can eliminate option (E). It is between (D) and (B) and (D) is correct as the hundredths place is bigger."
132,Basic Arithmetic Word Problems,18 is 60% of what number?,,"{'A': '24', 'B': '27', 'C': '30', 'D': '36', 'E': '45'}",C,"C: We can setup an equation to quickly solve this: 18 = 0.6x x = \frac{18}{0.6} To make the division easier without a calculator, multiply the numerator and the denominator by 10: x = \frac{18\times10}{0.6\times10}=\frac{180}{6} x = 30"
133,Basic Arithmetic Word Problems,"The cost of buying 4 biscuit boxes is $32. At this rate, it would cost ___ dollars to buy 7 boxes.",,"{'A': '8', 'B': '32', 'C': '44', 'D': '56', 'E': '1024'}",D,D: Cost rate = 32 dollar / 4 box = 8 dollar/ box. Total cost = (8 dollar/ box) * (7 box) = 56 dollar = $ 56. Option (D) is the correct answer.
134,Basic Arithmetic Word Problems,"Two partners have exclusive ownership of a relatively small company, with the shares of partner A to those of partner B in the ratio of 5:3. If the company makes a profit of one million dollars this year, then how much money would partner B be entitled to?",,"{'A': '$ 125,000', 'B': '$ 375,000', 'C': '$ 400,000', 'D': '$ 433,000', 'E': '$ 625,000'}",B,"B: Share of partner B in the profit = (3/ (3+5)) * $ 1,000,000 = $ 375,000. The correct answer is option (B)."
135,Basic Arithmetic Word Problems,"David bought $10,000.00 worth of identical laptops. Unfortunately, he sold them for only $9,000.00, thereby incurring a loss of 200 dollars/laptop. How many laptops did he trade in?",,"{'A': '5', 'B': '6', 'C': '10', 'D': '11', 'E': '28'}",A,"A: Total loss = $10,000.00 – $9,000.00 = $1,000.00. Therefore, the number of laptops is = 1000 dollar/ (200 dollar/laptop) = 5 laptop. The correct answer is option (A)."
136,Basic Arithmetic Word Problems,"A bottle distributor sells 10,000 bottles a day, for 5 days per week. It also sells 15,000 candy bars a day for 2 days per week. What is the total number of items they sell in a week?",,"{'A': '65,000', 'B': '71,000', 'C': '80,000', 'D': '80,500', 'E': '82,500'}",C,"C: We need to take 10,000*5 (50,000) to get the number of bottles sold. Then we can take 15,000*2 (30,000) to get the number of candy bars sold. 50,000+30,000 = 80,000 items sold."
137,Basic Arithmetic Word Problems,"In a “democratic” third-world country, a presidential race was conducted with a yes/no ballot. The current president won by a ‘comfortable’ majority of 99.999%. If the number of valid votes was 6,500,000, then how many voters voted ""no""?",,"{'A': '0', 'B': '65', 'C': '650', 'D': '6,500', 'E': '65,000'}",B,"B: Number of voters who said ""yes"" is: 99.999% × 6,500,000 = 6,499,935 We can then subtract ""yes"" voters from total votes to find the number of ""no"" voters: 6,500,000 - 6,499,935 = 65 Therefore, the correct answer is option (B)."
138,Basic Arithmetic Word Problems,A cellphone and a phone case cost $1100 in total. The cell phone costs $1000 more than the phone case. How much is the cellphone?,,"{'A': '$950', 'B': '$1000', 'C': '$1050', 'D': '$1100', 'E': '$1150'}",C,"C: Let the prices of the cellphone and the phone case be X and Y, respectively. We know that: X + Y = $ 1100 and X = Y + $ 1000. Therefore, (Y + $ 1000) + Y = $ 1100, which means 2Y + $ 1000 = $ 1100 or 2Y = $ 100. Hence Y = $ 50 and X = $ 1050. Option (C) is the correct answer. This is a famous math riddle, for which many persons would hastily go for the wrong answer of $ 1000 (option (B))."
139,Basic Arithmetic Word Problems,"In a New York-Cairo flight, the plane has 140 seats, and the number of passengers with confirmed reservations was 105 % of the plane capacity. How many seats are overbooked?",,"{'A': '6 seats', 'B': '7 seats', 'C': '8 seats', 'D': '9 seats', 'E': '12 seats'}",B,B: The percentage of overbooked seats = 105 % – 100 % = 5 %. The number of overbooked seats = (5 %) * 140 = (5/100) * 140 = 7 seats. The correct answer is option (B).
140,Basic Arithmetic Word Problems,"A store bought 48 identical microwave ovens for $24,960, and sold them each for $480. What is the net loss incurred on each oven?",,"{'A': '$00', 'B': '$20', 'C': '$40', 'D': '$80', 'E': '$160'}",C,"C: The buying price for every oven = 24,960 dollar / 48 = 520 dollar. The loss per individual oven = $520 – $480 = $40. Option (C) is the correct answer."
141,Basic Arithmetic Word Problems,Markers sells for $0.45 per pack. How many packs of markers can you buy with $3.15?,,"{'A': '4', 'B': '5', 'C': '6', 'D': '7', 'E': '8'}",D,D: The quickest way to solve this problem is to move the decimal the same number of times in both numbers. We can then divide the two numbers. 315 / 45 = 7.
142,Basic Arithmetic Word Problems,"A company purchased 50 units of a product for $1,500 and sold each unit for $40. What is the net profit made on each unit?",,"{'A': '$5', 'B': '$10', 'C': '$20', 'D': '$25', 'E': '$30'}",B,"B: The buying price for each unit = $1,500 / 50 units = $30/unit. The profit per unit = $40/unit - $30/unit = $10/unit. Therefore, option B is the correct answer."
143,Basic Arithmetic Word Problems,"A company has 72 employees, and they want to divide them equally into 8 teams. How many employees will each team have?",,"{'A': '6', 'B': '7', 'C': '8', 'D': '9', 'E': '12'}",D,"D: To find how many employees will be in each team, divide the total number of employees by the number of teams: 72 ÷ 8 = 9 employees per team."
144,Number Series,"What is the next number in the following series? 1952, 1956, 1960, 1964, 1968, 1972, 1976, ….",,"{'A': '1977', 'B': '1978', 'C': '1979', 'D': '1980', 'E': '1984'}",D,D: The answer is option (D). The series above is adding 4 to each number. It is also the dates for the Summer Olympic Games.
145,Letter Series,What would be the next group of letters in the following series? ngq … kft … hew … edz … ?,,"{'A': 'biw', 'B': 'bkv', 'C': 'bkx', 'D': 'cku', 'E': 'bcc'}",E,"E: The first letters (n, k, h, e) follow a pattern of -3. The second letters (g, f, e, d) follow a pattern of -1. The third letters (q, t, w, z) follow a pattern of +3. Following this pattern gives us b, c, c."
146,Logic Statements,"If the first two statements are true, is the final statement true? All native Americans have brown hair. Adam has black hair. Adam is a native American.",,"{'A': 'True', 'B': 'False', 'C': 'Uncertain'}",B,"B: The fact that all native Americans have brown hair rules out the possibility for a black-haired person to be a native American. Therefore, the answer is (B)."
147,Logic Statements,"If the first two statements are true, is the final statement true? All current members of NATO are presently allies of the USA. Germany is presently an ally of the USA. Germany is a current member of NATO.",,"{'A': 'True', 'B': 'False', 'C': 'Uncertain'}",C,"C: The premise that ‘all current members of NATO are presently allies of the USA’ does not imply that ‘all countries that are presently allies of the USA are current members of NATO.’ Therefore, the answer is (C) since Germany could be a member or a non-member of NATO according to the premises."
148,Logic Statements,"If the first two statements are true, is the final statement true? Julie enjoys running during the week. Julie went for a run. It is Monday.",,"{'A': 'True', 'B': 'False', 'C': 'Uncertain'}",C,"C: Option (C) is correct. While it is likely that it is a weekday, we cannot be sure that it is exactly a Monday. Statement 1 also does not specify whether or not she ONLY runs during the week, so it could be a weekend as well."
149,Ordering and Arrangement Logic,"Alex, Beth, Charlie, Dana, and Evan are seated in a row. Alex is sitting immediately to the left of Beth. Charlie is sitting to the left of Evan. Dana is seated first in line. If Beth is seated last in line, which of the following can be true about Charlie's position?",,"{'A': 'Charlie is first', 'B': 'Charlie is second', 'C': 'Charlie is third', 'D': 'Charlie is fourth', 'E': 'Charlie is last'}",B,"B: The quickest way to solve this type of question is by quickly mapping out what we know and going from there: Chair 1: Dana – We are told Dana is seated first in line. Chair 2: Charlie – Charlie must be seated to the left of Evan, and this is the only seat that works after we place Dana, Alex, and Beth. Chair 3: Evan Chair 4: Alex – We are told Alex is seated immediately to the left of Beth. Chair 5: Beth – We are told Beth is seated last in line."
